COUNTRY,Country,Year,Field,Female,Male,Total,Ratio,Difference,STEM_Status
AUS,Australia,2010,"Engineering, manufacturing and construction",3.93,14.922,8.696,3.7969465648854963,10.992,STEM
AUS,Australia,2010,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUS,Australia,2010,Health and welfare,21.702,8.915,16.158,0.4107916321076398,-12.787000000000003,STEM
AUS,Australia,2010,Information and Communication Technologies (ICTs),1.488,8.269,4.428,5.557123655913979,6.781000000000001,STEM
AUS,Australia,2010,"Natural sciences, mathematics and statistics",3.707,4.566,4.08,1.2317237658483948,0.859,STEM
AUS,Australia,2010,Services,2.33,2.316,2.324,0.9939914163090128,-0.014000000000000234,Non-STEM
AUS,Australia,2010,"Social sciences, journalism and information",6.604,4.074,5.507,0.6168988491823137,-2.5300000000000002,Non-STEM
AUS,Australia,2011,"Agriculture, forestry, fisheries and veterinary",0.829,1.313,1.036,1.5838359469240049,0.484,STEM
AUS,Australia,2011,Arts and humanities,11.315,8.931,10.298,0.7893062306672558,-2.3840000000000003,Non-STEM
AUS,Australia,2011,"Business, administration and law",37.422,42.251,39.482,1.1290417401528512,4.829000000000001,Non-STEM
AUS,Australia,2011,Education,10.006,4.595,7.697,0.45922446532080746,-5.4110000000000005,Non-STEM
AUS,Australia,2011,"Engineering, manufacturing and construction",3.673,15.193,8.588,4.13640076231963,11.52,STEM
AUS,Australia,2011,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUS,Australia,2011,Health and welfare,22.806,9.115,16.966,0.39967552398491624,-13.691,STEM
AUS,Australia,2011,Information and Communication Technologies (ICTs),1.335,7.639,4.024,5.722097378277154,6.304,STEM
AUS,Australia,2011,"Natural sciences, mathematics and statistics",3.65,4.479,4.004,1.227123287671233,0.8290000000000002,STEM
AUS,Australia,2011,Services,2.44,2.371,2.41,0.9717213114754099,-0.06899999999999995,Non-STEM
AUS,Australia,2011,"Social sciences, journalism and information",6.524,4.114,5.496,0.6305947271612508,-2.41,Non-STEM
AUS,Australia,2012,"Agriculture, forestry, fisheries and veterinary",0.872,1.143,0.987,1.3107798165137614,0.271,STEM
AUS,Australia,2012,Arts and humanities,11.044,8.973,10.168,0.8124773632741761,-2.0709999999999997,Non-STEM
AUS,Australia,2012,"Business, administration and law",36.342,41.156,38.379,1.1324638159705025,4.814,Non-STEM
AUS,Australia,2012,Education,10.007,4.637,7.734,0.46337563705406215,-5.37,Non-STEM
AUS,Australia,2012,"Engineering, manufacturing and construction",3.821,15.835,8.905,4.144203088196807,12.014000000000001,STEM
AUS,Australia,2012,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUS,Australia,2012,Health and welfare,23.722,9.465,17.689,0.39899671191299213,-14.257000000000001,STEM
AUS,Australia,2012,Information and Communication Technologies (ICTs),1.186,7.144,3.707,6.023608768971332,5.958,STEM
AUS,Australia,2012,"Natural sciences, mathematics and statistics",3.634,4.618,4.05,1.270776004402862,0.9840000000000004,STEM
AUS,Australia,2012,Services,2.694,2.684,2.69,0.9962880475129919,-0.009999999999999787,Non-STEM
AUS,Australia,2012,"Social sciences, journalism and information",6.677,4.344,5.69,0.6505915830462784,-2.3329999999999993,Non-STEM
AUS,Australia,2013,"Agriculture, forestry, fisheries and veterinary",0.857,1.101,0.96,1.2847141190198366,0.244,STEM
AUS,Australia,2013,Arts and humanities,10.683,8.629,9.813,0.8077319105120284,-2.0540000000000003,Non-STEM
AUS,Australia,2013,"Business, administration and law",35.714,40.836,37.884,1.1434171473371788,5.122,Non-STEM
AUS,Australia,2013,Education,10.006,4.526,7.684,0.452328602838297,-5.48,Non-STEM
AUS,Australia,2013,"Engineering, manufacturing and construction",3.86,15.828,8.931,4.100518134715026,11.968,STEM
AUS,Australia,2013,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUS,Australia,2013,Health and welfare,23.774,9.518,17.733,0.4003533271641289,-14.256,STEM
AUS,Australia,2013,Information and Communication Technologies (ICTs),1.213,6.873,3.611,5.666117065127782,5.66,STEM
AUS,Australia,2013,"Natural sciences, mathematics and statistics",3.993,5.172,4.493,1.29526671675432,1.1789999999999998,STEM
AUS,Australia,2013,Services,2.504,2.515,2.508,1.0043929712460065,0.01100000000000012,Non-STEM
AUS,Australia,2013,"Social sciences, journalism and information",7.396,5.003,6.382,0.6764467279610601,-2.393,Non-STEM
AUS,Australia,2014,"Agriculture, forestry, fisheries and veterinary",0.791,1.038,0.895,1.3122629582806573,0.247,STEM
AUS,Australia,2014,Arts and humanities,10.851,9.025,10.083,0.8317205787485024,-1.8260000000000005,Non-STEM
AUS,Australia,2014,"Business, administration and law",34.273,39.432,36.442,1.150526653634056,5.158999999999999,Non-STEM
AUS,Australia,2014,Education,9.983,4.543,7.695,0.4550736251627767,-5.44,Non-STEM
AUS,Australia,2014,"Engineering, manufacturing and construction",4.113,16.503,9.323,4.0123997082421585,12.39,STEM
AUS,Australia,2014,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUS,Australia,2014,Health and welfare,24.97,9.895,18.63,0.39627553063676413,-15.075,STEM
AUS,Australia,2014,Information and Communication Technologies (ICTs),1.215,7.105,3.692,5.847736625514403,5.890000000000001,STEM
AUS,Australia,2014,"Natural sciences, mathematics and statistics",4.078,5.293,4.589,1.297940166748406,1.2149999999999999,STEM
AUS,Australia,2014,Services,2.581,2.347,2.483,0.9093374660984115,-0.23399999999999999,Non-STEM
AUS,Australia,2014,"Social sciences, journalism and information",7.145,4.82,6.167,0.6745976207137859,-2.3249999999999993,Non-STEM
AUS,Australia,2015,"Agriculture, forestry, fisheries and veterinary",0.756,0.872,0.805,1.1534391534391535,0.11599999999999999,STEM
AUS,Australia,2015,Arts and humanities,11.738,9.247,10.689,0.7877832680184018,-2.4909999999999997,Non-STEM
AUS,Australia,2015,"Business, administration and law",31.376,38.095,34.208,1.214144569097399,6.718999999999998,Non-STEM
AUS,Australia,2015,Education,11.277,4.943,8.608,0.4383257958676953,-6.334,Non-STEM
AUS,Australia,2015,"Engineering, manufacturing and construction",3.056,14.155,7.734,4.631871727748691,11.099,STEM
AUS,Australia,2015,Generic programmes and qualifications,0.003,0.003,0.003,1.0,0.0,Non-STEM
AUS,Australia,2015,Health and welfare,25.556,10.726,19.306,0.4197057442479261,-14.83,STEM
AUS,Australia,2015,Information and Communication Technologies (ICTs),1.249,7.243,3.775,5.799039231385108,5.994,STEM
AUS,Australia,2015,"Natural sciences, mathematics and statistics",5.37,7.18,6.133,1.3370577281191804,1.8099999999999996,STEM
AUS,Australia,2015,Services,1.133,1.65,1.351,1.4563106796116505,0.5169999999999999,Non-STEM
AUS,Australia,2015,"Social sciences, journalism and information",8.486,5.886,7.39,0.6936130096629742,-2.6000000000000005,Non-STEM
AUS,Australia,2016,"Agriculture, forestry, fisheries and veterinary",0.814,0.8,0.808,0.9828009828009829,-0.013999999999999901,STEM
AUS,Australia,2016,Arts and humanities,12.081,9.19,10.848,0.7606986176641006,-2.891,Non-STEM
AUS,Australia,2016,"Business, administration and law",30.89,37.576,33.742,1.2164454516024603,6.686,Non-STEM
AUS,Australia,2016,Education,12.815,4.785,9.39,0.3733905579399142,-8.03,Non-STEM
AUS,Australia,2016,"Engineering, manufacturing and construction",3.195,14.869,8.174,4.653834115805947,11.674,STEM
AUS,Australia,2016,Generic programmes and qualifications,0.003,0.004,0.003,1.3333333333333333,0.001,Non-STEM
AUS,Australia,2016,Health and welfare,23.687,10.78,18.182,0.4551019546586735,-12.907000000000002,STEM
AUS,Australia,2016,Information and Communication Technologies (ICTs),1.471,7.422,4.009,5.045547246770903,5.951,STEM
AUS,Australia,2016,"Natural sciences, mathematics and statistics",5.347,7.15,6.116,1.3371984290256218,1.803,STEM
AUS,Australia,2016,Services,1.431,1.838,1.605,1.2844164919636618,0.40700000000000003,Non-STEM
AUS,Australia,2016,"Social sciences, journalism and information",8.265,5.587,7.123,0.6759830611010283,-2.678000000000001,Non-STEM
AUS,Australia,2017,"Agriculture, forestry, fisheries and veterinary",0.82,0.796,0.81,0.9707317073170733,-0.02399999999999991,STEM
AUS,Australia,2017,Arts and humanities,11.748,9.314,10.72,0.792815798433776,-2.4339999999999993,Non-STEM
AUS,Australia,2017,"Business, administration and law",30.498,37.324,33.381,1.2238179552757558,6.825999999999997,Non-STEM
AUS,Australia,2017,Education,13.751,4.864,9.997,0.35371972947422003,-8.887,Non-STEM
AUS,Australia,2017,"Engineering, manufacturing and construction",3.329,15.044,8.278,4.519074797236407,11.715,STEM
AUS,Australia,2017,Generic programmes and qualifications,0.0,0.001,0.001,inf,0.001,Non-STEM
AUS,Australia,2017,Health and welfare,23.629,10.928,18.264,0.4624825426382835,-12.701,STEM
AUS,Australia,2017,Information and Communication Technologies (ICTs),1.554,7.644,4.126,4.918918918918918,6.09,STEM
AUS,Australia,2017,"Natural sciences, mathematics and statistics",5.353,6.953,6.029,1.298897814309733,1.6000000000000005,STEM
AUS,Australia,2017,Services,1.163,1.624,1.358,1.3963886500429923,0.4610000000000001,Non-STEM
AUS,Australia,2017,"Social sciences, journalism and information",8.155,5.508,7.037,0.6754138565297364,-2.6469999999999994,Non-STEM
AUS,Australia,2018,"Agriculture, forestry, fisheries and veterinary",0.742,0.693,0.721,0.9339622641509433,-0.049000000000000044,STEM
AUS,Australia,2018,Arts and humanities,13.47,10.204,12.086,0.7575352635486265,-3.266,Non-STEM
AUS,Australia,2018,"Business, administration and law",32.649,40.358,35.916,1.2361174921130815,7.708999999999996,Non-STEM
AUS,Australia,2018,Education,11.939,4.158,8.641,0.3482703744032164,-7.781,Non-STEM
AUS,Australia,2018,"Engineering, manufacturing and construction",3.294,14.029,7.844,4.258955676988464,10.735,STEM
AUS,Australia,2018,Generic programmes and qualifications,0.001,0.0,0.001,0.0,-0.001,Non-STEM
AUS,Australia,2018,Health and welfare,22.776,10.275,17.478,0.4511327713382508,-12.501,STEM
AUS,Australia,2018,Information and Communication Technologies (ICTs),1.844,8.252,4.56,4.4750542299349245,6.408,STEM
AUS,Australia,2018,"Natural sciences, mathematics and statistics",4.41,5.798,4.998,1.3147392290249433,1.388,STEM
AUS,Australia,2018,Services,1.957,1.484,1.756,0.7583035258048032,-0.4730000000000001,Non-STEM
AUS,Australia,2018,"Social sciences, journalism and information",6.919,4.749,5.999,0.6863708628414511,-2.17,Non-STEM
AUS,Australia,2019,"Agriculture, forestry, fisheries and veterinary",0.71,0.647,0.683,0.9112676056338029,-0.06299999999999994,STEM
AUS,Australia,2019,Arts and humanities,11.619,9.008,10.508,0.7752818659092865,-2.6110000000000007,Non-STEM
AUS,Australia,2019,"Business, administration and law",33.369,40.583,36.438,1.2161886781144176,7.213999999999999,Non-STEM
AUS,Australia,2019,Education,11.901,3.591,8.365,0.3017393496344845,-8.309999999999999,Non-STEM
AUS,Australia,2019,"Engineering, manufacturing and construction",3.417,14.653,8.197,4.288264559555166,11.236,STEM
AUS,Australia,2019,Generic programmes and qualifications,0.005,0.008,0.006,1.6,0.003,Non-STEM
AUS,Australia,2019,Health and welfare,24.182,10.417,18.326,0.43077495657927384,-13.764999999999999,STEM
AUS,Australia,2019,Information and Communication Technologies (ICTs),2.438,10.057,5.679,4.125102543068088,7.619,STEM
AUS,Australia,2019,"Natural sciences, mathematics and statistics",4.198,5.513,4.758,1.3132444020962362,1.3149999999999995,STEM
AUS,Australia,2019,Services,1.654,1.295,1.501,0.7829504232164449,-0.359,Non-STEM
AUS,Australia,2019,"Social sciences, journalism and information",6.507,4.229,5.538,0.6499154756416168,-2.2779999999999996,Non-STEM
AUT,Austria,2010,"Agriculture, forestry, fisheries and veterinary",1.679,1.708,1.693,1.0172721858248956,0.028999999999999915,STEM
AUT,Austria,2010,Arts and humanities,9.253,5.098,7.309,0.5509564465578731,-4.155,Non-STEM
AUT,Austria,2010,"Business, administration and law",26.679,24.407,25.616,0.9148393867836127,-2.2719999999999985,Non-STEM
AUT,Austria,2010,Education,13.197,2.925,8.391,0.22164128210957035,-10.271999999999998,Non-STEM
AUT,Austria,2010,"Engineering, manufacturing and construction",7.909,37.697,21.847,4.7663421418637,29.788000000000004,STEM
AUT,Austria,2010,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2010,Health and welfare,11.163,5.468,8.499,0.4898324823076234,-5.695,STEM
AUT,Austria,2010,Information and Communication Technologies (ICTs),1.242,9.328,5.026,7.510466988727858,8.085999999999999,STEM
AUT,Austria,2010,"Natural sciences, mathematics and statistics",4.042,4.458,4.236,1.1029193468579912,0.41600000000000037,STEM
AUT,Austria,2010,Services,15.582,3.508,9.933,0.22513156205878576,-12.074000000000002,Non-STEM
AUT,Austria,2010,"Social sciences, journalism and information",9.253,5.403,7.451,0.5839187290608451,-3.8500000000000005,Non-STEM
AUT,Austria,2011,"Agriculture, forestry, fisheries and veterinary",1.662,1.754,1.705,1.0553549939831528,0.09200000000000008,STEM
AUT,Austria,2011,Arts and humanities,9.61,5.065,7.498,0.5270551508844954,-4.544999999999999,Non-STEM
AUT,Austria,2011,"Business, administration and law",27.743,26.445,27.14,0.9532134232058538,-1.2979999999999983,Non-STEM
AUT,Austria,2011,Education,13.609,3.027,8.693,0.2224263355132633,-10.582,Non-STEM
AUT,Austria,2011,"Engineering, manufacturing and construction",8.22,36.248,21.241,4.409732360097323,28.028,STEM
AUT,Austria,2011,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2011,Health and welfare,8.93,4.439,6.844,0.49708846584546473,-4.491,STEM
AUT,Austria,2011,Information and Communication Technologies (ICTs),1.206,8.864,4.764,7.349917081260366,7.658000000000001,STEM
AUT,Austria,2011,"Natural sciences, mathematics and statistics",4.368,4.869,4.601,1.114697802197802,0.5009999999999994,STEM
AUT,Austria,2011,Services,14.592,3.58,9.476,0.24533991228070176,-11.012,Non-STEM
AUT,Austria,2011,"Social sciences, journalism and information",10.061,5.708,8.038,0.5673392306927741,-4.353,Non-STEM
AUT,Austria,2012,"Agriculture, forestry, fisheries and veterinary",1.596,1.741,1.661,1.0908521303258145,0.14500000000000002,STEM
AUT,Austria,2012,Arts and humanities,10.551,5.758,8.4,0.545730262534357,-4.793,Non-STEM
AUT,Austria,2012,"Business, administration and law",26.155,25.034,25.652,0.9571401261709042,-1.1210000000000022,Non-STEM
AUT,Austria,2012,Education,15.642,3.617,10.246,0.23123641478071857,-12.024999999999999,Non-STEM
AUT,Austria,2012,"Engineering, manufacturing and construction",7.78,35.272,20.117,4.533676092544987,27.491999999999997,STEM
AUT,Austria,2012,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2012,Health and welfare,8.451,4.604,6.724,0.5447875991006981,-3.8470000000000004,STEM
AUT,Austria,2012,Information and Communication Technologies (ICTs),1.089,8.352,4.348,7.669421487603306,7.263,STEM
AUT,Austria,2012,"Natural sciences, mathematics and statistics",4.011,4.836,4.381,1.205684367988033,0.8250000000000002,STEM
AUT,Austria,2012,Services,13.743,3.784,9.274,0.27534017317907294,-9.959,Non-STEM
AUT,Austria,2012,"Social sciences, journalism and information",10.982,7.002,9.196,0.6375887816426881,-3.9799999999999995,Non-STEM
AUT,Austria,2013,"Agriculture, forestry, fisheries and veterinary",1.511,1.651,1.572,1.0926538716082066,0.14000000000000012,STEM
AUT,Austria,2013,Arts and humanities,13.588,7.614,10.962,0.5603473653223433,-5.973999999999999,Non-STEM
AUT,Austria,2013,"Business, administration and law",22.535,22.993,22.737,1.0203239405369424,0.4579999999999984,Non-STEM
AUT,Austria,2013,Education,16.28,4.027,10.893,0.24735872235872236,-12.253,Non-STEM
AUT,Austria,2013,"Engineering, manufacturing and construction",6.838,33.39,18.511,4.883006727113191,26.552,STEM
AUT,Austria,2013,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2013,Health and welfare,8.353,4.484,6.652,0.536813121034359,-3.8689999999999998,STEM
AUT,Austria,2013,Information and Communication Technologies (ICTs),0.902,7.95,4.001,8.813747228381375,7.048,STEM
AUT,Austria,2013,"Natural sciences, mathematics and statistics",5.167,6.364,5.693,1.2316624733888137,1.197,STEM
AUT,Austria,2013,Services,12.758,3.926,8.875,0.30772848408841513,-8.831999999999999,Non-STEM
AUT,Austria,2013,"Social sciences, journalism and information",12.068,7.6,10.103,0.6297646668876368,-4.468,Non-STEM
AUT,Austria,2014,"Agriculture, forestry, fisheries and veterinary",1.566,1.869,1.701,1.193486590038314,0.30299999999999994,STEM
AUT,Austria,2014,Arts and humanities,11.111,6.481,9.049,0.5832958329583295,-4.630000000000001,Non-STEM
AUT,Austria,2014,"Business, administration and law",22.466,20.472,21.578,0.9112436570818125,-1.9939999999999998,Non-STEM
AUT,Austria,2014,Education,17.253,4.257,11.466,0.24673969744392277,-12.996,Non-STEM
AUT,Austria,2014,"Engineering, manufacturing and construction",8.281,36.342,20.777,4.388600410578432,28.061,STEM
AUT,Austria,2014,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2014,Health and welfare,8.391,4.248,6.546,0.5062567036110118,-4.143,STEM
AUT,Austria,2014,Information and Communication Technologies (ICTs),1.009,8.138,4.184,8.065411298315164,7.129,STEM
AUT,Austria,2014,"Natural sciences, mathematics and statistics",5.053,6.243,5.583,1.2355036611913714,1.1900000000000004,STEM
AUT,Austria,2014,Services,13.167,3.971,9.072,0.30158730158730157,-9.196,Non-STEM
AUT,Austria,2014,"Social sciences, journalism and information",11.704,7.98,10.046,0.6818181818181818,-3.724,Non-STEM
AUT,Austria,2015,"Agriculture, forestry, fisheries and veterinary",1.406,1.888,1.621,1.3428165007112376,0.482,STEM
AUT,Austria,2015,Arts and humanities,11.064,6.489,9.022,0.5864967462039046,-4.575,Non-STEM
AUT,Austria,2015,"Business, administration and law",22.396,20.697,21.637,0.9241382389712448,-1.6990000000000016,Non-STEM
AUT,Austria,2015,Education,18.859,5.113,12.723,0.27111723845378866,-13.746000000000002,Non-STEM
AUT,Austria,2015,"Engineering, manufacturing and construction",7.516,34.803,19.697,4.630521554018094,27.287,STEM
AUT,Austria,2015,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2015,Health and welfare,8.344,4.567,6.658,0.5473394055608821,-3.7769999999999992,STEM
AUT,Austria,2015,Information and Communication Technologies (ICTs),0.992,7.777,4.021,7.839717741935484,6.785,STEM
AUT,Austria,2015,"Natural sciences, mathematics and statistics",4.88,6.446,5.579,1.3209016393442623,1.5659999999999998,STEM
AUT,Austria,2015,Services,12.717,4.137,8.887,0.325312573720217,-8.580000000000002,Non-STEM
AUT,Austria,2015,"Social sciences, journalism and information",11.826,8.083,10.155,0.6834939962793843,-3.7430000000000003,Non-STEM
AUT,Austria,2016,"Agriculture, forestry, fisheries and veterinary",1.408,1.941,1.648,1.3785511363636365,0.5330000000000001,STEM
AUT,Austria,2016,Arts and humanities,9.368,5.217,7.497,0.5568958155422715,-4.151000000000001,Non-STEM
AUT,Austria,2016,"Business, administration and law",22.575,20.738,21.747,0.9186267995570321,-1.8369999999999997,Non-STEM
AUT,Austria,2016,Education,18.32,4.843,12.246,0.26435589519650654,-13.477,Non-STEM
AUT,Austria,2016,"Engineering, manufacturing and construction",8.042,35.698,20.506,4.438945535936335,27.656,STEM
AUT,Austria,2016,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2016,Health and welfare,9.275,5.005,7.351,0.539622641509434,-4.2700000000000005,STEM
AUT,Austria,2016,Information and Communication Technologies (ICTs),1.055,7.709,4.054,7.3071090047393366,6.654,STEM
AUT,Austria,2016,"Natural sciences, mathematics and statistics",5.199,6.441,5.759,1.2388920946335833,1.242,STEM
AUT,Austria,2016,Services,11.483,3.408,7.844,0.29678655403640164,-8.075000000000001,Non-STEM
AUT,Austria,2016,"Social sciences, journalism and information",13.274,9.0,11.348,0.6780171764351364,-4.273999999999999,Non-STEM
AUT,Austria,2017,"Agriculture, forestry, fisheries and veterinary",1.497,1.856,1.658,1.239812959251837,0.359,STEM
AUT,Austria,2017,Arts and humanities,9.61,5.691,7.85,0.5921956295525495,-3.9189999999999996,Non-STEM
AUT,Austria,2017,"Business, administration and law",23.976,21.599,22.909,0.9008591925258592,-2.376999999999999,Non-STEM
AUT,Austria,2017,Education,19.176,5.277,12.934,0.27518773466833546,-13.898999999999997,Non-STEM
AUT,Austria,2017,"Engineering, manufacturing and construction",8.178,34.785,20.128,4.253484959647835,26.606999999999996,STEM
AUT,Austria,2017,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2017,Health and welfare,9.238,5.332,7.484,0.5771812080536913,-3.9059999999999997,STEM
AUT,Austria,2017,Information and Communication Technologies (ICTs),1.025,7.522,3.943,7.338536585365855,6.497,STEM
AUT,Austria,2017,"Natural sciences, mathematics and statistics",5.082,6.675,5.798,1.3134592680047226,1.593,STEM
AUT,Austria,2017,Services,11.396,3.586,7.888,0.31467181467181465,-7.8100000000000005,Non-STEM
AUT,Austria,2017,"Social sciences, journalism and information",10.821,7.677,9.409,0.7094538397560299,-3.144,Non-STEM
AUT,Austria,2018,"Agriculture, forestry, fisheries and veterinary",1.471,1.749,1.598,1.1889870836165874,0.278,STEM
AUT,Austria,2018,Arts and humanities,10.1,5.718,8.092,0.5661386138613862,-4.382,Non-STEM
AUT,Austria,2018,"Business, administration and law",25.767,22.729,24.375,0.8820972561803857,-3.0380000000000003,Non-STEM
AUT,Austria,2018,Education,16.623,5.659,11.599,0.34043193166095165,-10.964000000000002,Non-STEM
AUT,Austria,2018,"Engineering, manufacturing and construction",8.594,34.78,20.593,4.04700954154061,26.186,STEM
AUT,Austria,2018,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2018,Health and welfare,10.621,5.845,8.433,0.5503248281706054,-4.776000000000001,STEM
AUT,Austria,2018,Information and Communication Technologies (ICTs),1.246,8.112,4.392,6.510433386837882,6.866,STEM
AUT,Austria,2018,"Natural sciences, mathematics and statistics",5.312,7.001,6.086,1.3179593373493976,1.689,STEM
AUT,Austria,2018,Services,11.185,3.305,7.575,0.2954850245864998,-7.880000000000001,Non-STEM
AUT,Austria,2018,"Social sciences, journalism and information",9.079,5.103,7.257,0.5620663068619891,-3.976000000000001,Non-STEM
AUT,Austria,2019,"Agriculture, forestry, fisheries and veterinary",1.539,1.66,1.594,1.078622482131254,0.121,STEM
AUT,Austria,2019,Arts and humanities,9.345,5.64,7.662,0.6035313001605136,-3.705000000000001,Non-STEM
AUT,Austria,2019,"Business, administration and law",24.877,23.097,24.068,0.9284479639827955,-1.7799999999999976,Non-STEM
AUT,Austria,2019,Education,16.672,4.88,11.315,0.29270633397312856,-11.792000000000002,Non-STEM
AUT,Austria,2019,"Engineering, manufacturing and construction",8.857,35.629,21.021,4.0226939144179745,26.772,STEM
AUT,Austria,2019,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUT,Austria,2019,Health and welfare,10.991,5.996,8.722,0.5455372577563462,-4.994999999999999,STEM
AUT,Austria,2019,Information and Communication Technologies (ICTs),1.33,8.268,4.482,6.216541353383459,6.938000000000001,STEM
AUT,Austria,2019,"Natural sciences, mathematics and statistics",5.409,6.548,5.926,1.2105749676465152,1.1390000000000002,STEM
AUT,Austria,2019,Services,11.373,3.263,7.688,0.28690758814736655,-8.11,Non-STEM
AUT,Austria,2019,"Social sciences, journalism and information",9.608,5.019,7.523,0.5223771856786011,-4.589,Non-STEM
BEL,Belgium,2010,"Agriculture, forestry, fisheries and veterinary",2.22,3.02,2.549,1.3603603603603602,0.7999999999999998,STEM
BEL,Belgium,2010,Arts and humanities,13.025,11.286,12.31,0.8664875239923224,-1.7390000000000008,Non-STEM
BEL,Belgium,2010,"Business, administration and law",18.61,23.4,20.58,1.2573885008060182,4.789999999999999,Non-STEM
BEL,Belgium,2010,Education,13.445,5.033,9.985,0.3743399033097806,-8.411999999999999,Non-STEM
BEL,Belgium,2010,"Engineering, manufacturing and construction",4.396,22.525,11.853,5.123976342129208,18.128999999999998,STEM
BEL,Belgium,2010,Generic programmes and qualifications,0.019,0.021,0.02,1.105263157894737,0.0020000000000000018,Non-STEM
BEL,Belgium,2010,Health and welfare,29.317,12.986,22.6,0.4429511887300884,-16.331,STEM
BEL,Belgium,2010,Information and Communication Technologies (ICTs),0.302,4.567,2.056,15.122516556291393,4.265000000000001,STEM
BEL,Belgium,2010,"Natural sciences, mathematics and statistics",2.538,5.134,3.606,2.022852639873917,2.5960000000000005,STEM
BEL,Belgium,2010,Services,1.816,2.238,1.989,1.2323788546255505,0.42199999999999993,Non-STEM
BEL,Belgium,2010,"Social sciences, journalism and information",14.312,9.788,12.451,0.6839016210173282,-4.523999999999999,Non-STEM
